MaPhieu,DiemPhucVu,DiemViTri,DiemChatLuong,DiemGiaCa,DiemKhongGian,BinhLuan
MP001,9,8,10,7,9,Tuyệt vời
MP002,8,7,9,6,8,Khá tốt
MP003,7,6,8,7,7,Đạt yêu cầu
MP004,6,6,7,5,6,Chấp nhận được
MP005,10,9,10,9,10,Xuất sắc
MP006,9,8,8,7,8,Tốt
MP007,7,7,6,8,7,Khá
MP008,6,5,7,6,6,Trung bình
MP009,8,7,8,7,7,Tốt
MP010,9,9,9,8,9,Xuất sắc
MP011,5,4,6,5,5,Không hài lòng
MP012,10,10,10,10,10,Tuyệt vời
MP013,8,7,7,8,7,Khá tốt
MP014,7,8,8,7,7,Được
MP015,9,8,9,9,8,Tuyệt vời
MP016,6,6,7,6,6,Chấp nhận được
MP017,8,7,8,6,7,Tốt
MP018,9,8,9,8,9,Xuất sắc
MP019,7,7,7,6,7,Đạt yêu cầu
MP020,10,9,9,10,10,Chất lượng
MP021,6,5,7,6,5,Trung bình
MP022,9,8,10,9,9,Tuyệt vời
MP023,8,7,8,7,8,Tốt
MP024,5,4,5,5,5,Không hài lòng
MP025,10,10,10,10,10,Xuất sắc
MP026,9,8,9,8,9,Xuất sắc
MP027,7,6,8,7,7,Đạt yêu cầu
MP028,6,6,7,6,7,Chấp nhận được
MP029,8,9,8,8,9,Tuyệt vời
MP030,7,6,7,6,7,Khá
MP031,8,8,9,9,8,Xuất sắc
MP032,6,5,6,5,5,Trung bình
MP033,9,9,8,8,9,Tuyệt vời
MP034,7,6,6,7,6,Khá
MP035,10,10,10,10,10,Đặc biệt
MP036,8,7,9,8,7,Tốt
MP037,7,6,7,7,7,Đạt yêu cầu
MP038,9,9,9,8,9,Xuất sắc
MP039,5,5,6,5,5,Không hài lòng
MP040,9,8,9,9,9,Tuyệt vời
MP041,8,7,7,8,7,Khá tốt
MP042,10,9,10,10,10,Chất lượng
MP043,7,6,7,6,7,Đạt yêu cầu
MP044,6,5,6,5,6,Trung bình
MP045,8,7,8,7,7,Tốt
MP046,9,8,9,8,8,Xuất sắc
MP047,7,6,8,7,7,Khá
MP048,8,9,8,8,8,Tuyệt vời
MP049,9,8,9,8,9,Xuất sắc
MP050,6,6,7,6,7,Trung bình
MP051,9,8,9,8,9,Tuyệt vời
MP052,7,6,7,7,7,Đạt yêu cầu
MP053,8,7,9,8,8,Tốt
MP054,6,5,6,5,6,Chấp nhận được
MP055,9,8,8,9,9,Xuất sắc
MP056,7,7,7,6,7,Khá
MP057,9,8,9,9,8,Tuyệt vời
MP058,8,7,8,7,8,Tốt
MP059,6,5,6,6,6,Trung bình
MP060,10,9,10,10,10,Chất lượng
MP061,7,6,8,7,6,Đạt yêu cầu
MP062,9,9,9,8,9,Xuất sắc
MP063,8,7,8,8,7,Tốt
MP064,6,6,7,6,6,Trung bình
MP065,10,9,10,10,10,Đặc biệt
MP066,7,6,7,7,7,Khá
MP067,8,7,8,7,8,Tốt
MP068,9,8,9,8,9,Tuyệt vời
MP069,6,5,6,6,6,Chấp nhận được
MP070,8,7,9,8,7,Tốt
MP071,9,8,9,8,9,Xuất sắc
MP072,7,6,7,7,7,Đạt yêu cầu
MP073,6,5,6,5,5,Trung bình
MP074,9,8,9,9,9,Xuất sắc
MP075,10,9,10,10,10,Đặc biệt
MP076,8,7,8,7,8,Tốt
MP077,7,6,7,7,7,Khá
MP078,9,8,9,8,9,Tuyệt vời
MP079,6,5,6,5,6,Chấp nhận được
MP080,8,7,8,7,8,Tốt
MP081,7,6,7,7,7,Khá
MP082,9,8,9,8,9,Xuất sắc
MP083,6,5,6,5,5,Trung bình
MP084,8,7,8,7,7,Tốt
MP085,9,8,9,9,9,Xuất sắc
MP086,7,6,7,7,7,Đạt yêu cầu
MP087,9,9,9,9,8,Tuyệt vời
MP088,6,5,6,6,6,Trung bình
MP089,8,7,8,7,8,Tốt
MP090,10,9,10,10,10,Đặc biệt
MP091,7,6,7,7,7,Khá
MP092,9,8,9,8,9,Xuất sắc
MP093,8,7,8,7,8,Tốt
MP094,6,5,6,6,6,Chấp nhận được
MP095,9,8,9,8,9,Tuyệt vời
MP096,7,6,7,7,7,Khá
MP097,8,7,8,7,8,Tốt
MP098,9,8,9,8,9,Xuất sắc
MP099,6,5,6,6,6,Trung bình
MP100,10,9,10,10,10,Chất lượng
