MaPhieu,KhuVuc,SoLuongKhach,GioDen,GhiChu
002222,2,7,16:45:00,
002223,3,5,20:14:00,
002224,2,5,16:34:00,
002225,3,6,10:46:00,
002226,3,2,11:49:00,
002227,2,11,18:34:00,
002228,1,4,13:22:00,
002229,1,11,09:32:00,
002230,2,4,20:39:00,
002231,2,7,19:22:00,
002232,2,4,20:31:00,
002233,3,2,21:38:00,
002234,3,8,09:14:00,
002235,2,4,18:25:00,
002236,3,4,09:34:00,
002237,3,2,20:25:00,
002238,1,9,12:14:00,
002239,2,5,17:22:00,
002240,1,11,16:33:00,
002241,2,4,11:45:00,
002242,3,11,18:50:00,
002243,2,6,18:35:00,
002244,3,4,16:06:00,
002245,1,2,18:45:00,
002246,1,3,13:31:00,
002247,2,7,15:38:00,
002248,1,11,15:14:00,
002249,3,2,15:45:00,
002250,2,3,11:31:00,
002251,2,2,10:42:00,
002252,1,5,15:03:00,
002253,2,8,13:10:00,
002254,3,2,11:01:00,
002255,3,5,17:00:00,
002256,2,5,09:19:00,
002257,2,2,09:35:00,
002258,3,4,09:35:00,
002259,1,7,12:09:00,
002260,3,11,16:04:00,
002261,1,4,12:19:00,
002262,1,10,11:33:00,
002263,3,8,14:22:00,
002264,1,10,09:30:00,
002265,1,7,12:31:00,
002266,3,7,20:05:00,
002267,3,5,16:15:00,
002268,3,7,16:29:00,
002269,2,11,20:06:00,
002270,1,10,11:28:00,
002271,1,7,18:00:00,
002272,2,6,15:27:00,
002273,2,6,17:13:00,
002274,3,2,09:07:00,
002275,3,10,09:41:00,
002276,2,6,12:41:00,
002277,3,6,13:24:00,
002278,2,4,19:44:00,
002279,1,8,21:24:00,
002280,3,10,13:31:00,
002281,3,3,16:12:00,
002282,1,2,20:34:00,
002283,1,5,09:21:00,
002284,1,5,14:13:00,
002285,2,10,11:19:00,
002286,3,7,12:04:00,
002287,1,6,16:10:00,
002288,1,4,17:31:00,
002289,3,4,17:30:00,
002290,3,3,10:05:00,
002291,1,2,09:36:00,
002292,2,9,16:03:00,
002293,2,11,13:15:00,
002294,1,8,15:43:00,
002295,3,3,21:19:00,
002296,1,9,20:36:00,
002297,2,11,20:07:00,
002298,2,11,13:29:00,
002299,1,2,10:36:00,
002300,3,11,19:37:00,
002301,1,5,20:31:00,
002302,2,6,17:23:00,
002303,1,7,16:27:00,
002304,1,7,15:03:00,
002305,3,9,12:24:00,
002306,3,4,14:22:00,
002307,3,2,18:36:00,
002308,3,4,09:50:00,
002309,2,3,21:50:00,
002310,1,10,19:49:00,
002311,2,5,16:24:00,
002312,3,6,21:18:00,
002313,3,5,16:39:00,
002314,3,6,17:11:00,
002315,2,7,11:32:00,
002316,3,8,16:16:00,
002317,3,9,20:29:00,
002318,2,7,13:34:00,
002319,3,5,19:36:00,
