MaPhieu,ThoiDiemOnline,ThoiGianOnline
004444,09:53:00,00:02:00
004445,18:37:00,00:51:00
004446,14:60:00,01:52:00
004447,16:20:00,00:12:00
004448,10:33:00,00:54:00
004449,09:53:00,00:59:00
004450,14:40:00,00:40:00
004451,12:02:00,01:26:00
004452,09:20:00,01:33:00
004453,17:18:00,00:24:00
004454,18:47:00,01:30:00
004455,11:03:00,00:46:00
004456,18:38:00,00:19:00
004457,21:49:00,00:36:00
004458,14:43:00,01:43:00
004459,11:54:00,01:02:00
004460,21:58:00,00:35:00
004461,18:51:00,01:18:00
004462,20:26:00,00:30:00
004463,10:39:00,01:05:00
004464,21:27:00,00:29:00
004465,15:04:00,01:17:00
004466,16:01:00,00:26:00
004467,17:47:00,00:18:00
004468,10:26:00,01:01:00
004469,19:24:00,00:10:00
004470,15:19:00,01:33:00
004471,09:52:00,01:00:00
004472,14:45:00,01:43:00
004473,10:07:00,00:51:00
004474,09:47:00,00:55:00
004475,17:38:00,00:00:00
004476,12:08:00,01:09:00
004477,20:29:00,01:16:00
004478,21:38:00,00:12:00
004479,18:06:00,00:60:00
004480,14:42:00,00:10:00
004481,18:25:00,01:36:00
004482,12:53:00,01:43:00
004483,19:17:00,01:17:00
004484,20:15:00,01:40:00
004485,21:13:00,01:55:00
004486,17:02:00,00:12:00
004487,20:15:00,01:16:00
004488,15:01:00,01:13:00
004489,10:59:00,00:34:00
004490,12:01:00,01:27:00
004491,11:40:00,01:39:00
004492,18:57:00,00:34:00
004493,18:41:00,00:17:00
004494,12:41:00,01:09:00
004495,11:43:00,00:59:00
004496,12:07:00,01:56:00
004497,18:54:00,00:53:00
004498,10:14:00,01:56:00
004499,21:02:00,00:21:00
004500,17:14:00,00:56:00
004501,17:60:00,00:39:00
004502,19:49:00,01:60:00
004503,16:09:00,01:44:00
004504,11:01:00,01:37:00
004505,10:46:00,01:57:00
004506,21:12:00,01:03:00
004507,15:00:00,00:20:00
004508,14:30:00,00:42:00
004509,20:52:00,01:55:00
004510,19:17:00,01:24:00
004511,15:07:00,00:15:00
004512,11:55:00,00:60:00
004513,18:44:00,00:43:00
004514,16:14:00,01:31:00
004515,20:40:00,00:28:00
004516,17:50:00,01:37:00
004517,10:44:00,01:48:00
004518,14:30:00,01:45:00
004519,17:42:00,01:35:00
004520,21:32:00,01:12:00
004521,17:38:00,01:17:00
004522,15:03:00,00:13:00
004523,14:15:00,00:15:00
004524,20:36:00,01:29:00
004525,09:13:00,00:21:00
004526,13:27:00,01:21:00
004527,16:08:00,00:16:00
004528,16:12:00,01:49:00
004529,15:05:00,00:24:00
004530,09:17:00,00:30:00
004531,21:47:00,00:43:00
004532,11:10:00,01:06:00
004533,20:29:00,01:35:00
004534,20:17:00,01:49:00
004535,21:00:00,00:10:00
004536,20:29:00,00:05:00
004537,13:22:00,00:57:00
