MaPhieu,SoBan
000000,45
000001,5
000002,50
000003,42
000004,16
000005,48
000006,31
000007,3
000008,2
000009,35
000010,48
000011,10
000012,5
000013,48
000014,31
000015,27
000016,3
000017,24
000018,51
000019,47
000020,10
000021,44
000022,48
000023,19
000024,16
000025,37
000026,21
000027,43
000028,4
000029,37
000030,49
000031,37
000032,35
000033,28
000034,47
000035,44
000036,4
000037,12
000038,9
000039,26
000040,31
000041,49
000042,20
000043,35
000044,19
000045,50
000046,50
000047,48
000048,11
000049,31
000050,26
000051,28
000052,28
000053,46
000054,29
000055,21
000056,39
000057,5
000058,22
000059,51
000060,38
000061,5
000062,18
000063,41
000064,1
000065,7
000066,12
000067,16
000068,3
000069,33
000070,7
000071,9
000072,30
000073,42
000074,23
000075,15
000076,44
000077,26
000078,45
000079,22
000080,43
000081,27
000082,23
000083,24
000084,5
000085,21
000086,27
000087,51
000088,10
000089,51
000090,4
000091,36
000092,24
000093,23
000094,27
000095,25
000096,37
000097,10
000098,30
000099,13
000100,47
000101,29
000102,18
000103,27
000104,33
000105,4
000106,17
000107,11
000108,19
000109,44
000110,41
000111,26
000112,31
000113,15
000114,40
000115,18
000116,9
000117,15
000118,40
000119,2
000120,11
000121,29
000122,30
000123,16
000124,12
000125,13
000126,28
000127,27
000128,18
000129,6
000130,18
000131,33
000132,43
000133,23
000134,15
000135,3
000136,1
000137,48
000138,44
000139,46
000140,23
000141,3
000142,4
000143,47
000144,25
000145,4
000146,38
000147,31
000148,10
000149,15
000150,30
000151,26
000152,24
000153,10
000154,50
000155,36
000156,26
000157,20
000158,42
000159,19
000160,38
000161,48
000162,16
000163,22
000164,26
000165,48
000166,37
000167,50
000168,11
000169,13
000170,49
000171,15
000172,16
000173,47
000174,32
000175,8
000176,41
000177,39
000178,24
000179,8
000180,9
000181,31
000182,27
000183,43
000184,38
000185,18
000186,49
000187,20
000188,16
000189,38
000190,37
000191,34
000192,6
000193,5
000194,33
000195,50
000196,18
000197,14
000198,34
000199,30
000200,50
000201,21
000202,26
000203,44
000204,39
000205,17
000206,45
000207,31
000208,35
000209,12
000210,5
000211,44
000212,4
000213,33
000214,35
000215,45
000216,12
000217,14
000218,51
000219,16
000220,16
000221,43
000222,3
000223,44
000224,11
000225,7
000226,26
000227,50
000228,14
000229,35
000230,19
000231,9
000232,43
000233,46
000234,41
000235,46
000236,29
000237,31
000238,5
000239,3
000240,49
000241,5
000242,11
000243,3
000244,45
000245,10
000246,14
000247,11
000248,3
000249,19
000250,23
000251,14
000252,37
000253,8
000254,23
000255,35
000256,51
000257,38
000258,26
000259,46
000260,16
000261,15
000262,33
000263,13
000264,42
000265,49
000266,26
000267,21
000268,34
000269,29
000270,42
000271,17
000272,24
000273,50
000274,6
000275,21
000276,41
000277,51
000278,43
000279,10
000280,42
000281,27
000282,44
000283,24
000284,50
000285,17
000286,26
000287,17
000288,51
000289,34
000290,42
000291,37
000292,35
000293,27
000294,21
000295,5
000296,6
000297,2
000298,14
000299,3
000300,20
000301,21
000302,31
000303,36
000304,21
000305,40
000306,21
000307,49
000308,42
000309,9
000310,21
000311,49
000312,46
000313,4
000314,43
000315,23
000316,8
000317,31
000318,45
000319,5
000320,46
000321,43
000322,34
000323,50
000324,2
000325,6
000326,30
000327,16
000328,10
000329,44
000330,16
000331,32
000332,51
000333,47
000334,13
000335,2
000336,2
000337,14
000338,6
000339,28
000340,16
000341,13
000342,13
000343,35
000344,25
000345,38
000346,40
000347,13
000348,16
000349,41
000350,34
000351,36
000352,26
000353,49
000354,24
000355,24
000356,49
000357,40
000358,20
000359,19
000360,14
000361,44
000362,27
000363,31
000364,32
000365,41
000366,16
000367,19
000368,35
000369,41
000370,24
000371,12
000372,31
000373,32
000374,29
000375,21
000376,9
000377,27
000378,13
000379,39
000380,41
000381,7
000382,17
000383,36
000384,19
000385,29
000386,20
000387,7
000388,14
000389,37
000390,38
000391,8
000392,5
000393,2
000394,17
000395,45
000396,9
000397,28
000398,37
000399,41
000400,21
000401,45
000402,26
000403,27
000404,3
000405,42
000406,35
000407,46
000408,6
000409,5
000410,8
000411,3
000412,47
000413,38
000414,48
000415,14
000416,33
000417,50
000418,24
000419,11
000420,47
000421,51
000422,21
000423,1
000424,14
000425,33
000426,16
000427,40
000428,51
000429,16
000430,5
000431,24
000432,38
000433,41
000434,21
000435,10
000436,13
000437,20
000438,10
000439,46
000440,45
000441,18
000442,4
